Dataset,model,npar,logLik,AIC,AICc,dAICc,AICcwt
h10_0.7_0.25,D~water_dist + late_GS + shdi g0~rds_dist sigma~1 pmix~h2,8,-251.033779204386,518.068,522.568,0,0.3933
h10_0.7_0.25,D~water_dist + shdi g0~rds_dist sigma~1 pmix~h2,7,-252.965353566941,519.931,523.325,0.7570000000000618,0.2694
h10_0.7_0.25,D~water_dist g0~rds_dist sigma~1 pmix~h2,6,-254.489407477199,520.979,523.449,0.8809999999999718,0.2532
h10_0.7_0.25,D~water_dist + late_GS g0~rds_dist sigma~1 pmix~h2,7,-254.304946564108,522.61,526.004,3.4360000000000355,0.0706
h10_0.7_0.25,D~late_GS + shdi g0~rds_dist sigma~1 pmix~h2,7,-256.466655560091,526.933,530.327,7.7590000000000146,0.0081
h10_0.7_0.25,D~shdi g0~rds_dist sigma~1 pmix~h2,6,-258.344749792312,528.689,531.16,8.591999999999985,0.0054
h10_0.7_0.25,D~late_GS g0~rds_dist sigma~1 pmix~h2,6,-259.398427326693,530.797,533.267,10.69900000000007,0
h10_0.7_0.25,D~1 g0~rds_dist sigma~1 pmix~h2,5,-261.79299859145,533.586,535.3,12.731999999999971,0
h11_0.4_0.2,D~water_dist + shdi g0~rds_dist sigma~1,6,-456.234030402315,924.468,926.218,0,0.7323
h11_0.4_0.2,D~water_dist + late_GS + shdi g0~rds_dist sigma~1,7,-456.142398241394,926.285,928.668,2.4500000000000455,0.2151
h11_0.4_0.2,D~water_dist g0~rds_dist sigma~1,5,-460.562801318921,931.126,932.35,6.132000000000062,0.0341
h11_0.4_0.2,D~shdi g0~rds_dist sigma~1,5,-461.174973588273,932.35,933.574,7.3559999999999945,0.0185
h11_0.4_0.2,D~late_GS + shdi g0~rds_dist sigma~1,6,-461.36813836718,934.736,936.486,10.268000000000029,0
h11_0.4_0.2,D~water_dist + late_GS g0~rds_dist sigma~1,6,-461.729635519282,935.459,937.209,10.990999999999985,0
h11_0.4_0.2,D~1 g0~rds_dist sigma~1,4,-464.500332651651,937.001,937.801,11.583000000000084,0
h11_0.4_0.2,D~late_GS g0~rds_dist sigma~1,5,-464.074317845848,938.149,939.373,13.155000000000086,0
h11_0.6_0.2,D~water_dist g0~rds_dist sigma~1 pmix~h2,6,-301.07363319636,614.147,616.247,0,0.8493
h11_0.6_0.2,D~water_dist + late_GS + shdi g0~rds_dist sigma~1 pmix~h2,8,-300.161444845566,616.323,620.112,3.865000000000009,0.123
h11_0.6_0.2,D~water_dist + shdi g0~rds_dist sigma~1 pmix~h2,7,-303.446813038335,620.894,623.765,7.518000000000029,0.0198
h11_0.6_0.2,D~late_GS + shdi g0~rds_dist sigma~1 pmix~h2,7,-304.362444239644,622.725,625.597,9.350000000000023,0.0079
h11_0.6_0.2,D~late_GS g0~rds_dist sigma~1 pmix~h2,6,-306.448062796322,624.896,626.996,10.749000000000024,0
h11_0.6_0.2,D~shdi g0~rds_dist sigma~1 pmix~h2,6,-307.17084020597,626.342,628.442,12.19500000000005,0
h11_0.6_0.2,D~water_dist + late_GS g0~rds_dist sigma~1 pmix~h2,7,-305.934869054425,625.87,628.742,12.495000000000005,0
h11_0.6_0.2,D~1 g0~rds_dist sigma~1 pmix~h2,5,-309.787395884548,629.575,631.038,14.791000000000054,0
h12_0.7_0.3,D~water_dist + shdi g0~rds_dist sigma~1 pmix~h2,7,-253.034124366333,520.068,523.462,0,0.888
h12_0.7_0.3,D~water_dist g0~rds_dist sigma~1 pmix~h2,6,-257.636975032754,527.274,529.745,6.2830000000000155,0.0384
h12_0.7_0.3,D~late_GS + shdi g0~rds_dist sigma~1 pmix~h2,7,-256.469381667701,526.939,530.333,6.870999999999981,0.0286
h12_0.7_0.3,D~water_dist + late_GS + shdi g0~rds_dist sigma~1 pmix~h2,8,-255.269208020796,526.538,531.038,7.576000000000022,0.0201
h12_0.7_0.3,D~shdi g0~rds_dist sigma~1 pmix~h2,6,-258.361608595569,528.723,531.194,7.731999999999971,0.0186
h12_0.7_0.3,D~water_dist + late_GS g0~rds_dist sigma~1 pmix~h2,7,-257.978252235109,529.957,533.35,9.888000000000034,0.0063
h12_0.7_0.3,D~late_GS g0~rds_dist sigma~1 pmix~h2,6,-259.608470805519,531.217,533.688,10.225999999999999,0
h12_0.7_0.3,D~1 g0~rds_dist sigma~1 pmix~h2,5,-261.792963731798,533.586,535.3,11.837999999999965,0
h13_0.5_0.2,D~water_dist + shdi g0~rds_dist sigma~1 pmix~h2,7,-438.363034346604,890.726,893.272,0,0.936
h13_0.5_0.2,D~shdi g0~rds_dist sigma~1 pmix~h2,6,-443.185607824286,898.371,900.238,6.966000000000008,0.0287
h13_0.5_0.2,D~water_dist + late_GS + shdi g0~rds_dist sigma~1 pmix~h2,8,-441.289434490351,898.579,901.928,8.655999999999949,0.0123
h13_0.5_0.2,D~1 g0~rds_dist sigma~1 pmix~h2,5,-445.656206872519,901.312,902.617,9.344999999999914,0.0088
h13_0.5_0.2,D~water_dist g0~rds_dist sigma~1 pmix~h2,6,-444.506256149887,901.013,902.879,9.606999999999971,0.0077
h13_0.5_0.2,D~late_GS + shdi g0~rds_dist sigma~1 pmix~h2,7,-443.338327780514,900.677,903.222,9.949999999999932,0.0065
h13_0.5_0.2,D~water_dist + late_GS g0~rds_dist sigma~1 pmix~h2,7,-444.302930860133,902.606,905.151,11.878999999999905,0
h13_0.5_0.2,D~late_GS g0~rds_dist sigma~1 pmix~h2,6,-446.196287819258,904.393,906.259,12.986999999999966,0
h13_0.6_0.25,D~water_dist + late_GS g0~rds_dist sigma~1 pmix~h2,7,-305.692301069576,625.385,628.332,0,0.4876
h13_0.6_0.25,D~water_dist g0~rds_dist sigma~1 pmix~h2,6,-307.561957600343,627.124,629.278,0.9460000000000264,0.3038
h13_0.6_0.25,D~water_dist + shdi g0~rds_dist sigma~1 pmix~h2,7,-306.585014632148,627.17,630.117,1.7849999999999682,0.1997
h13_0.6_0.25,D~water_dist + late_GS + shdi g0~rds_dist sigma~1 pmix~h2,8,-308.224234404236,632.448,636.34,8.008000000000038,0.0089
h13_0.6_0.25,D~late_GS + shdi g0~rds_dist sigma~1 pmix~h2,7,-310.851630012311,635.703,638.651,10.31899999999996,0
h13_0.6_0.25,D~shdi g0~rds_dist sigma~1 pmix~h2,6,-313.153918330144,638.308,640.462,12.129999999999995,0
h13_0.6_0.25,D~late_GS g0~rds_dist sigma~1 pmix~h2,6,-313.333037766397,638.666,640.82,12.488000000000056,0
h13_0.6_0.25,D~1 g0~rds_dist sigma~1 pmix~h2,5,-316.223667106192,642.447,643.947,15.615000000000009,0
h13_0.6_0.3,D~water_dist + late_GS + shdi g0~rds_dist sigma~1 pmix~h2,8,-304.938207990963,625.876,629.768,0,0.5924
h13_0.6_0.3,D~water_dist + shdi g0~rds_dist sigma~1 pmix~h2,7,-307.244668648922,628.489,631.437,1.6689999999999827,0.2571
h13_0.6_0.3,D~water_dist + late_GS g0~rds_dist sigma~1 pmix~h2,7,-307.826420884387,629.653,632.6,2.8319999999999936,0.1438
h13_0.6_0.3,D~late_GS + shdi g0~rds_dist sigma~1 pmix~h2,7,-310.885893406972,635.772,638.719,8.951000000000022,0.0067
h13_0.6_0.3,D~shdi g0~rds_dist sigma~1 pmix~h2,6,-313.145069313536,638.29,640.444,10.67599999999993,0
h13_0.6_0.3,D~late_GS g0~rds_dist sigma~1 pmix~h2,6,-313.331166245657,638.662,640.816,11.048000000000002,0
h13_0.6_0.3,D~water_dist g0~rds_dist sigma~1 pmix~h2,6,-313.397434958258,638.795,640.949,11.180999999999926,0
h13_0.6_0.3,D~1 g0~rds_dist sigma~1 pmix~h2,5,-316.23027893124,642.461,643.961,14.192999999999984,0
h15_0.5_0.3,D~water_dist + shdi g0~rds_dist sigma~1 pmix~h2,7,-438.137440777553,890.275,892.82,0,0.9476
h15_0.5_0.3,D~shdi g0~rds_dist sigma~1 pmix~h2,6,-442.735342105142,897.471,899.337,6.516999999999939,0.0364
h15_0.5_0.3,D~late_GS + shdi g0~rds_dist sigma~1 pmix~h2,7,-442.804685945278,899.609,902.155,9.334999999999923,0.0089
h15_0.5_0.3,D~1 g0~rds_dist sigma~1 pmix~h2,5,-445.656206982392,901.312,902.617,9.796999999999912,0.0071
h15_0.5_0.3,D~water_dist g0~rds_dist sigma~1 pmix~h2,6,-444.478212770643,900.956,902.823,10.002999999999929,0
h15_0.5_0.3,D~water_dist + late_GS g0~rds_dist sigma~1 pmix~h2,7,-443.480060893109,900.96,903.506,10.685999999999922,0
h15_0.5_0.3,D~late_GS g0~rds_dist sigma~1 pmix~h2,6,-445.326526173516,902.653,904.52,11.699999999999932,0
h15_0.5_0.3,D~water_dist + late_GS + shdi g0~rds_dist sigma~1 pmix~h2,8,-442.602190854261,901.204,904.553,11.732999999999947,0
h16_0.4_0.3,D~water_dist + shdi g0~rds_dist sigma~1,6,-462.706102214216,937.412,939.279,0,0.7617
h16_0.4_0.3,D~water_dist + late_GS + shdi g0~rds_dist sigma~1,7,-463.006873861207,940.014,942.559,3.2799999999999727,0.1478
h16_0.4_0.3,D~water_dist g0~rds_dist sigma~1,5,-466.258395020659,942.517,943.821,4.54200000000003,0.0786
h16_0.4_0.3,D~shdi g0~rds_dist sigma~1,5,-468.14373727393,946.287,947.592,8.312999999999988,0.0119
h16_0.4_0.3,D~1 g0~rds_dist sigma~1,4,-470.732718942854,949.465,950.317,11.038000000000011,0
h16_0.4_0.3,D~water_dist + late_GS g0~rds_dist sigma~1,6,-468.40488672451,948.81,950.676,11.397000000000048,0
h16_0.4_0.3,D~late_GS g0~rds_dist sigma~1,5,-470.331839483393,950.664,951.968,12.688999999999965,0
h16_0.4_0.3,D~late_GS + shdi g0~rds_dist sigma~1,6,-469.364641614628,950.729,952.596,13.317000000000007,0
h5_0.8_0.2,D~water_dist g0~rds_dist sigma~1 pmix~h2,6,-163.02079002681,338.042,342.983,0,0.7087
h5_0.8_0.2,D~water_dist + late_GS g0~rds_dist sigma~1 pmix~h2,7,-163.279744780877,340.559,347.559,4.576000000000022,0.0719
h5_0.8_0.2,D~water_dist + shdi g0~rds_dist sigma~1 pmix~h2,7,-163.439778227063,340.88,347.88,4.896999999999991,0.0612
h5_0.8_0.2,D~shdi g0~rds_dist sigma~1 pmix~h2,6,-165.559038960503,343.118,348.059,5.076000000000022,0.056
h5_0.8_0.2,D~1 g0~rds_dist sigma~1 pmix~h2,5,-167.734485518763,345.469,348.802,5.819000000000017,0.0386
h5_0.8_0.2,D~water_dist + late_GS + shdi g0~rds_dist sigma~1 pmix~h2,8,-161.675982290473,339.352,348.952,5.968999999999994,0.0358
h5_0.8_0.2,D~late_GS g0~rds_dist sigma~1 pmix~h2,6,-166.683099027553,345.366,350.307,7.324000000000012,0.0182
h5_0.8_0.2,D~late_GS + shdi g0~rds_dist sigma~1 pmix~h2,7,-165.302178102253,344.604,351.604,8.620999999999981,0.0095
h5_0.8_0.25,D~water_dist g0~rds_dist sigma~1 pmix~h2,6,-163.188248791554,338.376,343.318,0,0.599
h5_0.8_0.25,D~water_dist + shdi g0~rds_dist sigma~1 pmix~h2,7,-161.933377428677,337.867,344.867,1.549000000000035,0.2761
h5_0.8_0.25,D~shdi g0~rds_dist sigma~1 pmix~h2,6,-165.572104462815,343.144,348.085,4.766999999999996,0.0552
h5_0.8_0.25,D~1 g0~rds_dist sigma~1 pmix~h2,5,-167.739617868524,345.479,348.813,5.4950000000000045,0.0384
h5_0.8_0.25,D~late_GS g0~rds_dist sigma~1 pmix~h2,6,-166.681981619665,345.364,350.305,6.987000000000023,0.0182
h5_0.8_0.25,D~late_GS + shdi g0~rds_dist sigma~1 pmix~h2,7,-165.364678964149,344.729,351.729,8.411000000000001,0.0089
h5_0.8_0.25,D~water_dist + late_GS g0~rds_dist sigma~1 pmix~h2,7,-166.130243690339,346.26,353.26,9.942000000000007,0.0042
