Dataset,sex,estimate,se,lcl,ucl
h10_0.7_0.25,male,47.318759071417276,12.648267306835706,22.52815515001929,72.10936299281526
h10_0.7_0.25,female,27.742724227150745,8.58694119171035,10.91231949139846,44.57312896290303
h11_0.4_0.2,total,64.14863628268722,10.062896686780507,44.42535877659743,83.87191378877702
h11_0.6_0.2,male,54.292763280237345,13.211462487790492,28.39829680416798,80.1872297563067
h11_0.6_0.2,female,33.53118249821194,9.329777445007686,15.244818705996877,51.817546290427
h12_0.7_0.3,male,47.318760077289326,12.648271109974521,22.528148701739266,72.10937145283938
h12_0.7_0.3,female,27.74272481688791,8.586943163713526,10.912316216009401,44.57313341776642
h13_0.5_0.2,male,43.77952320250865,8.363044316854815,27.387956341473213,60.171090063544085
h13_0.5_0.2,female,25.175466878620107,5.903722010991229,13.604171737077298,36.74676202016292
h13_0.6_0.25,male,47.68263653376506,11.125747225484915,25.87617197181463,69.4891010957155
h13_0.6_0.25,female,28.052173716814764,7.683188692521788,12.99312387947206,43.11122355415747
h13_0.6_0.3,male,47.68264491818787,11.125701273671432,25.87627042179186,69.48901941458388
h13_0.6_0.3,female,28.052178649454866,7.683166032571749,12.993173225614239,43.11118407329549
h15_0.5_0.3,male,43.77787918780773,8.619105320975358,26.884432758696025,60.67132561691943
h15_0.5_0.3,female,25.17452148601134,6.024202902314763,13.367083797474404,36.98195917454828
h16_0.4_0.3,total,58.1365870868239,8.920580563268663,40.65224918281732,75.62092499083047
h5_0.8_0.2,male,41.51630825013251,15.541809978040508,11.054360693173116,71.9782558070919
h5_0.8_0.2,female,23.06031058659561,9.9092438580007,3.638192624914236,42.482428548276985
h5_0.8_0.25,male,41.51617466642992,15.541716342443854,11.054410635239964,71.97793869761988
h5_0.8_0.25,female,23.060236387279705,9.909190862340173,3.638222297092966,42.482250477466444
h7_0.8_0.3,male,41.51617894594877,15.541691724862591,11.054463165218088,71.97789472667944
h7_0.8_0.3,female,23.060238764346405,9.90917919616727,3.638247539858554,42.482229988834256
h9_0.7_0.2,male,47.31862169862988,12.648205693763549,22.528138538853327,72.10910485840644
h9_0.7_0.2,female,27.74264368625255,8.58690365864276,10.912312515312742,44.57297485719236
